,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,gross income,Rating,month,day,day_period
0,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,Ewallet,522.83,26.1415,9.1,January,Saturday,Afternoon
1,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,Cash,76.4,3.82,9.6,March,Friday,morning
2,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,Credit card,324.31,16.2155,7.4,March,Sunday,Afternoon
3,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,Ewallet,465.76,23.288,8.4,January,Sunday,Evening
4,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,Ewallet,604.17,30.2085,5.3,February,Friday,morning
5,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,Ewallet,597.73,29.8865,4.1,March,Monday,Evening
6,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,Ewallet,413.04,20.652,5.8,February,Monday,Afternoon
7,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,Ewallet,735.6,36.78,8.0,February,Sunday,morning
8,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,Credit card,72.52,3.626,7.2,January,Thursday,Evening
9,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,Credit card,164.52,8.226,5.9,February,Wednesday,Afternoon
10,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,Ewallet,57.92,2.896,4.5,February,Wednesday,Evening
11,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,Cash,102.04,5.102,6.8,March,Saturday,Evening
12,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,Ewallet,234.75,11.7375,7.1,February,Tuesday,morning
13,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,Ewallet,431.9,21.595,8.2,February,Thursday,Evening
14,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,Cash,713.8,35.69,5.7,March,Friday,Evening
15,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,Cash,562.32,28.116,4.5,January,Tuesday,Evening
16,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,Credit card,482.51,24.1255,4.6,March,Monday,morning
17,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,Credit card,435.66,21.783,6.9,January,Tuesday,morning
18,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,Credit card,164.01,8.2005,8.6,January,Monday,Evening
19,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,Ewallet,80.6,4.03,4.4,March,Monday,Afternoon
20,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,Ewallet,430.2,21.51,4.8,February,Monday,morning
21,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,Ewallet,263.94,13.197,5.1,March,Tuesday,morning
22,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,Credit card,66.4,3.32,4.4,March,Friday,Afternoon
23,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,Ewallet,172.8,8.64,9.9,February,Sunday,morning
24,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,Ewallet,265.89,13.2945,6.0,March,Saturday,Evening
25,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,Credit card,420.72,21.036,8.5,March,Friday,Evening
26,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,Cash,33.52,1.676,6.7,February,Friday,Afternoon
27,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,Credit card,175.34,8.767,7.7,March,Sunday,Afternoon
28,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,Cash,441.8,22.09,9.6,January,Friday,Evening
29,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,Cash,224.01,11.2005,7.4,March,Friday,Afternoon
30,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,Credit card,470.65,23.5325,4.8,February,Monday,Evening
31,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,Cash,702.63,35.1315,4.5,January,Monday,Afternoon
32,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,Cash,670.24,33.512,5.1,January,Thursday,Afternoon
33,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,Credit card,193.16,9.658,5.1,March,Friday,morning
34,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,Ewallet,397.68,19.884,7.5,February,Wednesday,morning
35,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,Ewallet,68.12,3.406,6.8,January,Monday,Afternoon
36,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,Ewallet,313.1,15.655,7.0,March,Sunday,Evening
37,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,Ewallet,547.92,27.396,4.7,January,Tuesday,Evening
38,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,Ewallet,439.36,21.968,7.6,March,Saturday,Afternoon
39,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,Cash,240.96,12.048,7.7,March,Sunday,Afternoon
40,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,Ewallet,86.72,4.336,7.9,January,Thursday,Evening
41,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,Cash,112.22,5.611,6.3,February,Saturday,morning
42,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,Cash,414.72,20.736,5.6,February,Friday,Afternoon
43,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,Cash,789.6,39.48,7.6,March,Monday,Evening
